feature_idx,stratum,pearson_r,n_predicted,holdout_coverage,firing_rate,max_f1_dom,best_concept,n_significant_concepts,unexplained_mass_fraction,unexplained_enrichment,causal_concept,causal_selectivity,causal_selectivity_z,causal_mean_delta_ce,summary
78,concept,0.7849015248928595,13,1.0,0.11337992203218515,0.3152608275413513,is_y_ion,49,0.4831572907557231,0.7859751060704833,,,,,The feature activates on peaks that are predominantly noisy in spectra with a high number of other noise peaks around mass-to-charge ratios of 800-1100.
266,unexplained,0.8898380680167939,14,1.0,0.0009046790836533723,0.007670947816222906,spectrum_contains_cam_cys,50,0.9922996362575955,1.614221345271146,,,,,The feature activates on peaks with an m/z around 133.043.
293,concept,0.907368414657167,14,1.0,0.02249493896575281,0.2657676935195923,top_decile_intensity,50,0.19177388579152055,0.3119677651780393,,,,,The feature activates strongly on peaks that are high in relative intensity and are part of the y-ion series in moderately complex spectra.
296,concept,0.6937508889853996,16,1.0,0.012525158882514157,0.5551524758338928,is_first_ion,50,0.28936643064539685,0.47072623216347254,,,,,The feature activates on peaks around m/z 175 coupled with y-ion matches and nearby spectral context with small m/z differences and varied ion types.
337,concept,0.6764757652272795,13,1.0,0.0055431203969512986,0.3418901562690735,is_first_ion,50,0.30066844526712566,0.4891117606675112,,,,,"The feature activates on peaks near m/z 147.1125, often marked as y-ion or noise, influenced by spectral context."
341,unexplained,0.8030102942242554,12,1.0,0.00023321755414293735,0.0007391191320493817,is_noise_peak,50,0.9916723820545348,1.6132009608161941,,,,,The feature activates on noise peaks around m/z 430 and 448 with nearby similar noise peaks and specific spectral context.
726,unexplained,0.5580412093279881,13,1.0,0.0008655107413327265,0.005686203949153423,mz_low,49,0.9970820278245093,1.622001090689447,,,,,The feature activates on noise peaks around m/z 185.1645 with nearby peaks and moderate relative intensity.
851,concept,0.7588413397634137,16,1.0,0.005487286250882269,0.29341447353363037,is_I_ion,50,0.0029623962942737637,0.004819071938193758,,,,,"The feature activates on peaks matched to the immonium ion (I) with m/z ~120.08 and surrounded by nearby peaks, particularly around m/z 129.10."
1013,concept,-0.410586609574136,14,1.0,0.13235599134533702,0.2606804370880127,mz_mid,50,0.6787380662478493,1.1041357210584717,,,,,The feature activates on medium to high intensity noise or b-labeled peaks with certain spectral contexts.
1115,concept,0.5487006774419634,17,1.0,0.06013223463466595,0.3241249620914459,mz_low,50,0.6797295133545805,1.10574855555313,,,,,The feature activates on low peak_mz noise peaks with specific neighboring peak patterns and occasional residue modifications.
1211,concept,0.633874986283316,12,1.0,0.1447723706750295,0.2636139392852783,mz_high,50,0.6246400408174834,1.0161318720234525,,,,,"The feature activates on peaks classified as ""noise"" with surrounding noise or internal ions and potential modifications (+57.02) in moderately intense, non-dominant peaks."
1279,unexplained,0.7889740636270711,12,1.0,0.00011568289908544735,0.0010992413153871894,peptide_length_short,50,0.9981694974771413,1.6237701296585973,,,,,"The feature activates on peaks around 166.06 m/z with low relative intensity, surrounded by noise and common y-ions like 175.12 m/z."
1416,concept,0.33264858754775745,16,1.0,0.3507337953390413,0.38826748728752136,mz_mid,50,0.7876253354962313,1.2812678571861487,,,,,"The feature activates on higher m/z noise peaks with closely spaced ""noise"" neighbors often with charge state z=3."
1459,unexplained,0.8331818825281831,12,1.0,0.0005113364870959644,0.0017711975378915668,peptide_length_short,50,0.9901350493578656,1.6107001080867647,,,,,"The feature activates on spectra with peaks around 415 and 429 m/z, particularly in contexts where these are the most intense peaks labeled as noise."
1641,unexplained,0.655744757414936,16,1.0,0.00017222811944774119,0.0011313038412481546,mz_low,49,0.9985783636990863,1.6244352519248042,,,,,The feature activates on peaks with m/z ~115.0865 surrounded by immonium ions.
1910,unexplained,0.7986225050089969,12,1.0,0.00018068694072803193,0.0011818347265943885,mz_low,50,0.9933117307999505,1.6158677679382583,,,,,The feature activates on noise peaks around m/z 166.06 with low to moderate relative intensities within cluttered spectral regions.
2181,concept,0.7334997362663345,13,1.0,0.007550260916119973,0.3551632761955261,is_I_ion,50,0.07382442078631196,0.12009372117174498,,,,,The feature activates on immonium ions around m/z 136.075 with specific nearby y-ion peaks and moderate relative intensity.
2290,unexplained,0.8464325402103137,13,1.0,0.00020345613216026813,0.0013372580287978053,mz_low,50,0.9974721018936901,1.6226356428606876,,,,,The feature activates on noise peaks around 166.060 m/z with strong relative intensities and consistent spectral neighborhood relations.
2481,concept,0.5178971173743329,14,1.0,0.043922496161124695,0.45999011397361755,top_decile_intensity,50,0.28863928837178005,0.46954335499992944,,,,,"The feature activates on high-intensity y-ions, especially as the most intense peak in a spectrum."
2483,concept,0.6079427182592892,15,1.0,0.057075444760304635,0.48802700638771057,mz_high,50,0.5970843559797864,0.9713057196967898,,,,,"The feature activates on peaks around m/z 1200-1300 with moderate relative intensity, often classified as ""noise"" or ""internal,"" and in proximity to intense y-ions."
2637,concept,0.4109011838968872,15,1.0,0.025488235831344734,0.25966811180114746,mz_high,49,0.6252571859840794,1.017135811624607,,,,,The feature activates on noise peaks in the m/z range 1030-1060 with nearby high-intensity peaks.
3434,unexplained,0.14242666427145462,12,1.0,0.00013486709095580904,0.000887703790795058,mz_low,50,0.9899064783157898,1.6103282806250303,,,,,"The feature activates on peaks with m/z of ~165.10 labeled ""noise"", particularly at lower intensity ranks or smaller n_peaks values."
3712,unexplained,0.8716162106321905,15,1.0,0.0008307866133449831,0.006888727657496929,spectrum_contains_cam_cys,50,0.9991192886545377,1.6253152004578628,,,,,"The feature activates on specific m/z ~133.04 labelled as ""noise,"" often found with nearby y-ions and immonium ions."
3783,unexplained,0.8286458210574439,13,1.0,0.0011165495949506021,0.01844017021358013,top_decile_intensity,49,0.9916946653179803,1.6132372100681154,,,,,"The feature activates on ""noise"" peaks in specific m/z range and relative intensities within noisy spectral contexts."
3879,concept,0.7979329174304,16,1.0,0.09496531994380439,0.6268836259841919,mz_high,49,0.6219153635151827,1.0116995089552394,,,,,"The feature activates on peaks with m/z ratios between 1000 and 1200, low intensity, appearing in higher peak-count spectra with proximity to intense y-ions."
3926,unexplained,0.7472060542851332,13,1.0,0.00010660188779855028,0.0006992187700234354,mz_low,46,0.9950525050545234,1.618699568793923,,,,,The feature activates on the presence of a peak at approximately 166.061 m/z marked as noise.
3971,concept,0.5746495268504426,17,1.0,0.0407748369177033,0.2866283655166626,mz_high,49,0.5851463818841757,0.9518856454568086,,,,,The feature activates on peaks in the 1500-1600 m/z range with significant y-ion spectral context and high noise classification.
4233,unexplained,0.8390364498173185,14,1.0,0.000906797492485389,0.005954083986580372,mz_low,50,0.9924759918973233,1.614508231436983,,,,,The feature activates on 183.1490 m/z noise peaks with high relative intensity in less complex spectra.
4754,unexplained,0.8356837523318238,12,1.0,0.0012744969723419506,0.008358275517821312,mz_low,49,0.9974675903679401,1.622628303745667,,,,,"The feature activates on peaks at ~199.18 m/z labeled as noise, depending on their relative intensity and spectral context."
4954,concept,0.6626408040693119,16,1.0,0.005220500064478143,0.282454252243042,is_I_ion,50,0.002600530066173383,0.004230406813075488,,,,,"The feature activates on immonium ion peaks with m/z around 120.08 Da, regardless of relative intensity, often with neighbouring immonium ions."
4977,unexplained,0.39466068962627404,15,1.0,0.0002927403981082757,0.001920726033858955,mz_low,47,0.9905584030601964,1.6113887978312045,,,,,"The feature activates on ""noise"" peaks with m/z ~181.06, in spectra with high peak counts and nearby ""noise"" peaks at 171.11 and 175.12."
5107,concept,0.7811773618723303,14,1.0,0.007207374966288782,0.3204447329044342,cleaves_N_to_Pro,50,0.36395810892289004,0.5920680878445226,,,,,The feature activates on the most intense y-ions in a spectrum.
5722,unexplained,0.8415015859148265,13,1.0,0.0002815113498938092,0.0018459770362824202,mz_low,50,0.9961078807707026,1.620416399019481,,,,,The feature activates on peaks with m/z near 166.06 showing high activation in the presence of nearby noise peaks with m/z ~175.12.
5800,concept,0.4154747246829585,16,1.0,0.06282411007015266,0.48372799158096313,mz_high,49,0.6272040495617066,1.0203028678528943,,,,,"The feature activates on peaks in the m/z range of 1400 to 1700 identified as noise, with medium-to-low relative intensity and not directly associated with specific peptide features."
5831,unexplained,0.8772215102450777,16,1.0,0.00028841469615758413,0.00189113465603441,mz_low,49,0.9908094156164602,1.6117971319789224,,,,,"The feature activates on ""noise"" peaks near m/z 128.1070 often found with immonium ions at m/z 136.08."
5834,concept,0.370659717665705,14,1.0,0.12697339597009014,0.34081709384918213,is_H2O_loss,50,0.47178028959361706,0.7674675933696736,,,,,"The feature activates on high-intensity, noise-associated peaks flanked by patterns of certain y-ion series and nearby peaks indicating neutral losses."
6198,concept,0.5922719705784155,13,1.0,0.16278428250270596,0.2817716598510742,mz_mid,49,0.6645733908878533,1.081093365222108,,,,,The feature activates on noise-labeled peaks within specific spectral contexts defined by nearby noise and y/internal ion peaks.
6359,unexplained,0.7965972507411383,15,1.0,0.00018067212668025558,0.001162398955784738,mz_low,47,0.990137069344401,1.6107033940956106,,,,,The feature activates on noise peaks around 209.14 m/z in a crowded spectral context.
6411,unexplained,0.590884433123502,12,1.0,0.00015366611758398584,0.0010101519292220473,mz_low,50,0.991762898150194,1.6133482076843424,,,,,The feature activates on peaks with m/z approximately 142.12 labeled as 'noise'.
6652,unexplained,nan,10,1.0,0.0006285896752457039,0.010223478078842163,peptide_length_short,50,0.9897540182803203,1.6100802665831389,,,,,"The feature activates on peaks characterized as ""noise"" around the 242 m/z region with moderate relative intensity and contextual spectral relationships."
6895,concept,0.4964976872718691,16,1.0,0.005503833542248442,0.2878890037536621,is_first_ion,50,0.3812528551462804,0.6202022798715737,,,,,"The feature activates on peaks around 175.119 m/z with nearby noise peaks around 169-185 m/z, indicating a context-driven response rather than a specific ion match or peptide modification."
6970,concept,0.41239692319310023,14,1.0,0.06241758297107431,0.32442229986190796,is_H2O_loss,50,0.420716267086653,0.6843993022061066,,,,,The feature activates on b-ion peaks with low m/z values in doubly charged peptides.
7026,concept,0.6245004636752681,13,1.0,0.17624663730374257,0.2967531681060791,is_internal_fragment,50,0.36039375970916215,0.5862697902612446,,,,,The feature activates on internal or immonium ions with nearby dense peak clustering in the m/z range of 250-450.
7145,unexplained,0.679275302717998,16,1.0,0.00021330747393153495,0.0013917635660618544,mz_low,49,0.9947844675442263,1.6182635393380556,,,,,"The feature activates on peaks with m/z around 155.118 and ""noise"" label amidst specific nearby spectral patterns."
7375,unexplained,0.8270613781264223,15,1.0,0.0012036117537321585,0.007892532274127007,mz_low,50,0.9993646406904353,1.6257143263659861,,,,,"The feature activates on peaks with m/z approximately 157.133, often surrounded by noise or y-ion peaks."
7411,concept,0.2203649431683483,14,1.0,0.12425288498025176,0.4001975357532501,mz_high,50,0.6326397508778774,1.0291453835310957,,,,,"The feature activates on relatively intense noise peaks in high precursor m/z spectra, especially when surrounded by additional noise peaks."
